experiment,time_limit,peak_lower_bound,peak_upper_bound,start_missing,model_status,objective,mip_gap,mip_node_count,dual_bound,solve_seconds,mip_start_status,name,scheduled_tasks,duplicate_task_ids,missing_assignments,realtime_start_violations,arrival_violations,deadline_violations,terminal_2406_violations,latency_violations,max_gpu_excess,max_it_power_excess_MW,max_facility_power_excess_MW,mean_wait_hour,max_wait_hour,migration_rate,tail_task_rate,peak_gpu_utilization,mean_gpu_utilization,all_hard_constraints_pass,note
no_mip_start,30.0,0.0,1.0,,Time limit reached,0.5794314683468992,0.030570934515985974,1066.0,0.5617177068715645,30.034787893295288,not_used,ablation_no_mip_start,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10037174721189591,0.12639405204460966,0.5794301712779973,0.3826122210316932,True,
mip_start,30.0,0.0,1.0,0.0,Time limit reached,0.5794314683468992,0.030570934515985974,1066.0,0.5617177068715645,30.089177131652832,HighsStatus.kOk,ablation_mip_start,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10037174721189591,0.12639405204460966,0.5794301712779973,0.3826122210316932,True,
mip_start_plus_peak_bounds,30.0,0.3981548724517024,0.999654934437543,0.0,Time limit reached,0.5726464819719242,0.01908467288631742,1120.0,0.5617177111839896,30.085094690322876,HighsStatus.kOk,ablation_mip_start_plus_peak_bounds,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12453531598513011,0.12639405204460966,0.5726449275362319,0.3913589157509121,True,
exact_duplicate_pruning,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no effect: 34229 -> 34229 candidates
symmetry_breaking,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not applicable: zero fully identical task groups in final window
