scenario,wait_limit,model_status,objective,mip_gap,mip_node_count,dual_bound,solve_seconds,mip_start_status,name,scheduled_tasks,duplicate_task_ids,missing_assignments,realtime_start_violations,arrival_violations,deadline_violations,terminal_2406_violations,latency_violations,max_gpu_excess,max_it_power_excess_MW,max_facility_power_excess_MW,mean_wait_hour,max_wait_hour,migration_rate,tail_task_rate,peak_gpu_utilization,mean_gpu_utilization,all_hard_constraints_pass,raw_candidates,kept_candidates,start_missing
wait_stage1,,Optimal,0.0,0.0,1,0.0,4.305033206939697,HighsStatus.kOk,wait_stage1,538,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7323420074349443,0.12639405204460966,0.9961180124223602,0.4072478788484098,True,34229,34229,0
lexicographic_1.05,0.0,Optimal,0.564701329199329,0.005283540472615637,1524,0.5617177068715645,51.60691547393799,HighsStatus.kOk,lexicographic_1.05,538,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.12267657992565056,0.12639405204460966,0.5646997929606625,0.3878156099120395,True,34229,34229,0
epsilon_0.05,0.05,Time limit reached,0.5463951388238899,0.12278957325802711,137,0.4793035128974439,300.27236676216125,HighsStatus.kOk,epsilon_0.05,538,0,0,0,0,0,0,0,0.0,0.0,0.0,0.048327137546468404,7.0,0.15055762081784388,0.12825278810408922,0.5463932806324111,0.38663435320001094,True,34229,34229,0
epsilon_0.10,0.1,Time limit reached,0.5458267539004743,0.1685640542459771,0,0.4538199833470892,300.0248816013336,HighsStatus.kOk,epsilon_0.10,538,0,0,0,0,0,0,0,0.0,0.0,0.0,0.07992565055762081,8.0,0.4144981412639405,0.13011152416356878,0.5458220108695652,0.38831027516005123,True,34229,34229,0
epsilon_0.20,0.2,Time limit reached,0.5267350985555137,0.1827027208610529,0,0.4304991628764065,300.0546112060547,HighsStatus.kOk,epsilon_0.20,538,0,0,0,0,0,0,0,0.0,0.0,0.0,0.17657992565055763,15.0,0.23048327137546468,0.13382899628252787,0.5267323369565217,0.3835876129232862,True,34229,34229,0
