window_start,model,MAE,RMSE,WAPE,Under_Q95,Under_Max,Regret
2184,history_mean,26.534260107176777,50.10473562906753,0.6865185582020943,90.19455128205126,261.66666666666663,0.0
2184,window_72,26.47685185185185,50.424676905070946,0.6850332395041026,90.74097222222218,274.84722222222223,0.31994127600341926
2184,window_168,26.614693562610228,50.23704705644405,0.6885996058601915,92.05267857142856,255.96428571428572,0.13231142737652135
2184,window_336,26.68970458553792,50.321080857097485,0.6905403594030294,88.62708333333333,257.97916666666663,0.21634522802995804
2184,ewma_0.003,26.632290374244366,50.14825157765731,0.6890548866067896,87.55290116714164,258.18244984263765,0.04351594858978558
2184,ewma_0.01,26.557940926244637,50.23209633098111,0.6871312499333821,91.01306683618495,263.9555377778753,0.12736070191358095
2184,ewma_0.03,26.54798819738276,50.83026950997799,0.6868737438623318,91.83002574166252,286.3798377301498,0.7255338809104614
2184,compound_poisson,26.534260107176777,50.10473562906753,0.6865185582020943,90.19455128205126,261.66666666666663,0.0
2184,lag24,32.129629629629626,65.24544116329196,0.8312870575552495,117.34999999999997,357.0,15.14070553422443
2184,lag168,34.8287037037037,67.98066173825002,0.901119961669761,115.69999999999993,349.0,17.875926109182494
2208,history_mean,28.236717072597962,56.55485164390108,0.7966992211718581,97.66467391304346,502.4932065217391,0.08157240234339724
2208,window_72,28.502057613168724,56.81745070376977,0.8041858068636202,96.91388888888889,516.0972222222222,0.3441714622120884
2208,window_168,28.21985229276896,56.493908807337995,0.7962233812602828,94.75178571428572,501.30357142857144,0.020629565780311054
2208,window_336,28.36603009259259,56.568113410556805,0.8003477891711841,94.93095238095236,496.08333333333337,0.094834168999121
2208,ewma_0.003,28.342980493780786,56.50287244820477,0.7996974445374763,96.62491237452701,498.38419292182607,0.029593206647085424
2208,ewma_0.01,28.379385528913765,56.473279241557684,0.8007246129247435,95.35958738514641,501.7613453669155,0.0
2208,ewma_0.03,28.742948749498417,56.72295742626185,0.8109825523991454,93.68817448814964,511.50887321745364,0.24967818470416603
2208,compound_poisson,28.236717072597962,56.55485164390108,0.7966992211718581,97.66467391304346,502.4932065217391,0.08157240234339724
2208,lag24,34.879629629629626,74.46211440377907,0.9841290575403305,107.34999999999997,639.0,17.988835162221385
2208,lag168,35.47222222222222,74.05722262022944,1.0008490627653321,115.44999999999999,625.0,17.583943378671755
2232,history_mean,25.75831549515465,47.43809015002942,0.7708224088325581,89.47625448028668,252.3189964157706,0.0
2232,window_72,26.199395576131685,47.68366805839022,0.7840218127520704,78.45486111111103,237.23611111111111,0.24557790836080073
2232,window_168,26.028935185185187,47.620145076639375,0.7789207536713771,85.83095238095234,248.98809523809524,0.1820549266099576
2232,window_336,26.088941247795415,47.82742651710904,0.7807164463180672,88.53065476190476,260.5654761904762,0.38933636707962194
2232,ewma_0.003,25.94007935148927,47.59551036969189,0.7762617262291054,89.41673158888294,253.43340307205386,0.15742021966246966
2232,ewma_0.01,26.075475812499025,47.63798296477718,0.7803134906483499,84.50133012356669,246.4388864701443,0.19989281474776277
2232,ewma_0.03,26.30226645534487,47.80572484225842,0.7871002430527143,77.53929072538813,235.02357052305678,0.3676346922290037
2232,compound_poisson,25.75831549515465,47.43809015002942,0.7708224088325581,89.47625448028668,252.3189964157706,0.0
2232,lag24,33.826388888888886,72.20186144620024,1.0122610141313384,100.94999999999987,369.0,24.763771296170823
2232,lag168,32.25,64.09288687637769,0.9650872817955112,98.74999999999983,282.0,16.654796726348273
2256,history_mean,25.730340491200423,48.45902207319462,0.7848825795931776,69.36400709219858,305.76950354609926,0.0
2256,window_72,26.478587962962962,48.89994570184457,0.8077072447394436,64.03888888888886,303.6388888888889,0.44092362864995494
2256,window_168,26.026840828924165,48.691816710955166,0.7939270751373562,67.17499999999998,306.8452380952381,0.23279463776054854
2256,window_336,26.04530423280423,48.506573649279055,0.7944902858756834,67.12455357142856,300.26488095238096,0.047551576084437386
2256,ewma_0.003,25.896749614778358,48.46740120638952,0.789958751135733,69.14922337226922,302.9048515905075,0.008379133194900135
2256,ewma_0.01,26.01335095865856,48.57539681321286,0.7935155778944003,66.9805012443913,305.08619725114653,0.11637474001824444
2256,ewma_0.03,26.05797760610854,48.60202035700435,0.7948768765597296,68.68953065613015,312.76187560936285,0.14299828380973167
2256,compound_poisson,25.730340491200423,48.45902207319462,0.7848825795931776,69.36400709219858,305.76950354609926,0.0
2256,lag24,34.01851851851852,70.54824984048545,1.0377065386244881,92.44999999999999,427.0,22.089227767290836
2256,lag168,33.90277777777778,64.83261924770986,1.0341759638469143,96.44999999999999,329.0,16.37359717451524
2280,history_mean,26.828167641325535,52.337457820316544,0.794581682507379,74.37155701754384,335.74649122807017,0.0
2280,window_72,27.131880144032923,52.45684781446857,0.8035768697533404,75.65833333333326,337.0833333333333,0.1193899941520229
2280,window_168,26.95825066137566,52.3415889703498,0.7984344087285264,76.24880952380947,333.8809523809524,0.004131150033252595
2280,window_336,27.033413249559082,52.43168493775441,0.8006605322781792,70.87991071428566,337.2202380952381,0.09422711743786749
2280,ewma_0.003,26.963097447511572,52.35254710480089,0.7985779581327985,72.32019769002406,332.9390573917938,0.015089284484346877
2280,ewma_0.01,27.048377321543924,52.40233085605484,0.8011037298030286,74.60270517400994,334.63712572028066,0.0648730357382945
2280,ewma_0.03,27.132469837423113,52.630260521472174,0.8035943349627578,77.9788005998718,340.4325966938365,0.29280270115562956
2280,compound_poisson,26.828167641325535,52.337457820316544,0.794581682507379,74.37155701754384,335.74649122807017,0.0
2280,lag24,35.51851851851852,77.40528860293529,1.0519676402029343,101.34999999999997,452.0,25.067830782618742
2280,lag168,32.94444444444444,71.51883978676139,0.9757301522007404,98.34999999999997,406.0,19.181381966444846
2304,history_mean,27.12258672518004,55.034322201056156,0.7994103476344256,81.90846354166662,428.78385416666663,0.0
2304,window_72,27.3784079218107,55.79373134877188,0.8069504142882051,86.32777777777773,440.83333333333337,0.7594091477157221
2304,window_168,27.17055224867725,55.351730370605004,0.8008240821060635,81.19404761904761,438.3095238095238,0.3174081695488482
2304,window_336,27.426780202821867,55.11774746665311,0.808376137519209,84.50446428571428,422.9375,0.08342526559695074
2304,ewma_0.003,27.29457287356754,55.14026700232172,0.8044794624671608,83.21929734334229,427.25590320769584,0.10594480126556505
2304,ewma_0.01,27.262753980585497,55.289769843028395,0.8035416333228448,82.89117410764575,433.1201866355123,0.2554476419722391
2304,ewma_0.03,27.065888483222086,55.40736928976656,0.7977392252679226,84.41826732457251,435.972074139408,0.3730470887104005
2304,compound_poisson,27.12258672518004,55.034322201056156,0.7994103476344256,81.90846354166662,428.78385416666663,0.0
2304,lag24,33.895833333333336,71.46368217752546,0.9990448249982943,108.79999999999995,402.0,16.4293599764693
2304,lag168,35.745370370370374,75.07311251188553,1.0535580268813536,105.89999999999998,521.0,20.03879031082937
2328,history_mean,26.78428471426753,50.79288231017545,0.7623911838020409,91.73374140893465,289.52792096219935,0.0015316397144715665
2328,window_72,26.617348251028808,51.00060170961513,0.7576394837217134,92.82916666666667,287.3611111111111,0.20925103915415377
2328,window_168,26.721312830687825,50.850109177808676,0.7605987443405905,92.8321428571428,293.4702380952381,0.058758507347697275
2328,window_336,26.876019620811288,50.79135067046098,0.7650023374969017,91.33482142857142,286.8422619047619,0.0
2328,ewma_0.003,26.84002929957298,50.821862479706226,0.763977904553965,91.1252533277769,286.64300410780555,0.030511809245247434
2328,ewma_0.01,26.76044352846043,50.905807915477446,0.7617125653485476,91.17271325723607,287.94655974591586,0.11445724501646737
2328,ewma_0.03,26.820783782846707,51.3793956516301,0.7634300977920391,91.42118269635651,280.8139383351014,0.5880449811691193
2328,compound_poisson,26.78428471426753,50.79288231017545,0.7623911838020409,91.73374140893465,289.52792096219935,0.0015316397144715665
2328,lag24,33.28703703703704,68.36977348160462,0.9474863279963102,106.89999999999998,242.0,17.578422811143646
2328,lag168,33.791666666666664,68.62181652873744,0.9618501680173948,126.0,313.0,17.83046585827646
2352,history_mean,23.811004031242128,45.85194935797013,0.727773718798401,69.30048894557822,302.57057823129253,0.07703288185777524
2352,window_72,23.62988683127572,45.77491647611235,0.7222379447510338,68.40347222222218,299.09722222222223,0.0
2352,window_168,24.017774470899468,45.84361708652815,0.7340935737532596,67.37827380952379,301.3571428571429,0.06870061041579589
2352,window_336,23.87134865520282,45.95340827918584,0.7296181278511121,70.19181547619046,304.01190476190476,0.17849180307348433
2352,ewma_0.003,23.93324145261835,45.98207438839827,0.7315098562000231,68.87644057379494,304.4237898798091,0.20715791228591485
2352,ewma_0.01,23.885792544475233,45.79117701950661,0.7300595994915312,68.40979224766599,302.76131391259366,0.016260543394260196
2352,ewma_0.03,24.073478539878376,45.82789140256727,0.735796146117692,67.14157189676841,302.728911680627,0.052974926454915305
2352,compound_poisson,23.811004031242128,45.85194935797013,0.727773718798401,69.30048894557822,302.57057823129253,0.07703288185777524
2352,lag24,35.84953703703704,69.924877017596,1.0957266166690252,123.69999999999993,330.0,24.14996054148365
2352,lag168,29.636574074074073,60.5823016876858,0.9058299136833168,66.29999999999984,330.0,14.807385211573447
