model,Level,MAE,RMSE,WAPE,Bias,UnderforecastRate
compound_poisson,bottom_18,26.350709534768132,50.82166389821386,0.7653849625677418,0.009693008951036988,0.37037037037037035
compound_poisson,region_6,64.04586526637678,87.74101424248207,0.6202761059962594,0.009693008951036966,0.3854166666666667
compound_poisson,system_1,171.01336741207467,209.68413826068638,0.275689131768525,0.009693008951037013,0.49479166666666663
compound_poisson,type_3,69.84791110240505,122.4166543331341,0.3374820432897139,0.009693008951036993,0.4704861111111111
ewma_0.003,bottom_18,26.480380113445403,50.87634832214633,0.7691897487328815,0.0010103563386412934,0.37008101851851855
ewma_0.003,region_6,64.28667426593361,87.84366788580007,0.6226482178553878,0.0010103563386412726,0.3836805555555556
ewma_0.003,system_1,171.1990712193469,209.79925585006498,0.276025262923506,0.0010103563386412613,0.484375
ewma_0.003,type_3,70.02121667903087,122.52735190553693,0.33835960724519354,0.0010103563386413073,0.4861111111111111
ewma_0.01,bottom_18,26.497940075172636,50.913480123074514,0.7697628074208535,0.003228681163803043,0.3680555555555555
ewma_0.01,region_6,64.34601395335568,87.9361540167124,0.6232854226260646,0.0032286811638030533,0.3854166666666667
ewma_0.01,system_1,171.50165995369377,210.33245735361302,0.27647039099572646,0.0032286811638029657,0.4895833333333333
ewma_0.01,type_3,70.17320359694378,122.72083594948094,0.33905862767535794,0.003228681163803063,0.4895833333333333
ewma_0.03,bottom_18,26.59297520646311,51.15073612511734,0.7725491525017916,0.006799863866747118,0.3715277777777778
ewma_0.03,region_6,64.77132661805142,88.41231167809003,0.6273846400480414,0.0067998638667471235,0.3993055555555555
ewma_0.03,system_1,172.40976056033176,211.64014103646196,0.2778334849178908,0.006799863866747162,0.5
ewma_0.03,type_3,70.49379649223508,123.18042063401604,0.34054161051468346,0.00679986386674712,0.4861111111111111
history_mean,bottom_18,26.350709534768132,50.82166389821386,0.7653849625677418,0.009693008951036988,0.37037037037037035
history_mean,region_6,64.04586526637678,87.74101424248207,0.6202761059962594,0.009693008951036966,0.3854166666666667
history_mean,system_1,171.01336741207467,209.68413826068638,0.275689131768525,0.009693008951037013,0.49479166666666663
history_mean,type_3,69.84791110240505,122.4166543331341,0.3374820432897139,0.009693008951036993,0.4704861111111111
lag168,bottom_18,33.571469907407405,68.34493262470464,0.9747750663575405,0.0008543044562168631,0.3871527777777778
lag168,region_6,85.20225694444444,117.9196291938015,0.8246564453343423,0.0008543044562168631,0.4921875
lag168,system_1,230.50520833333334,284.1462242044165,0.3713884185132154,0.0008543044562168631,0.4947916666666667
lag168,type_3,94.99479166666667,169.94931404376746,0.4588569952182683,0.0008543044562168631,0.5104166666666666
lag24,bottom_18,34.175636574074076,71.20266101667727,0.9949511347147464,0.0006261339752364169,0.3802083333333333
lag24,region_6,87.3671875,122.98751709235036,0.8482007880392674,0.0006261339752364169,0.501736111111111
lag24,system_1,238.56770833333334,300.9920521101909,0.3856153201777121,0.0006261339752364169,0.5052083333333334
lag24,type_3,99.421875,177.0971593116352,0.48110741109075494,0.0006261339752364169,0.4878472222222222
window_168,bottom_18,26.46977651014109,50.928745407083525,0.768952703107206,0.0023521449836340228,0.36921296296296297
window_168,region_6,64.23685515873015,87.94849258632088,0.6222176252321059,0.0023521449836340228,0.3862847222222222
window_168,system_1,171.61247519841268,210.3997432806924,0.27665930676749845,0.002352144983634041,0.484375
window_168,type_3,70.2442542989418,122.78172171916773,0.3394168475263069,0.0023521449836340046,0.4861111111111111
window_336,bottom_18,26.549692735890652,50.93967322351209,0.7712190019891708,-0.0014676017909501828,0.3700810185185185
window_336,region_6,64.36187582671957,87.95998015398673,0.623390224065983,-0.001467601790950201,0.3819444444444444
window_336,system_1,171.53890749007937,210.2000392480058,0.27656288204981094,-0.0014676017909502296,0.4791666666666667
window_336,type_3,70.11698082010582,122.8340718354089,0.33883304025922684,-0.0014676017909502036,0.4965277777777778
window_72,bottom_18,26.551802019032923,51.10647983975543,0.7714191020466912,0.002294914618666338,0.3700810185185185
window_72,region_6,64.66536458333334,88.31092162290646,0.6264231375181981,0.002294914618666338,0.3897569444444444
window_72,system_1,172.53602430555557,211.95610550834468,0.2781224181470476,0.002294914618666233,0.47916666666666663
window_72,type_3,70.54229359567901,123.46813865752623,0.3408132410480779,0.0022949146186663372,0.4809027777777778
