scheme,cost_yuan,carbon_tco2,avg_latency_ms,renew_utilization,migrated,n_tasks,weights
greedy_balanced,383632922.9722976,340096.5273485232,35.875497004718234,0.09320445802793408,37726,50000,"(1.0, 1.0, 0.5, 0.5)"
greedy_cost,383678282.3910617,340046.7051490042,35.86103600021208,0.09320337198762789,37722,50000,"(1.0, 0.1, 0.1, 0.0)"
greedy_carbon,383668756.45077765,340527.62040482485,35.88978779840849,0.09320746213977409,37700,50000,"(0.1, 1.0, 0.1, 0.0)"
greedy_renew,383645991.9792585,340127.5971897031,35.8689693563779,0.09320471435720182,37724,50000,"(0.1, 0.1, 0.1, 1.0)"
greedy_latency,383633667.0131376,340102.6116447232,35.87644470363694,0.09320447465020489,37724,50000,"(0.1, 0.1, 1.0, 0.0)"
greedy_cost2,383666401.7283582,340055.68532420346,35.86378816793893,0.09320345357527429,37728,50000,"(2.0, 0.5, 0.3, 0.2)"
greedy_bal2,383514487.3095202,340039.88407440594,35.876226074969516,0.09320414790137883,37722,50000,"(0.5, 2.0, 0.5, 0.3)"
greedy_mix,383632922.9722976,340096.5273485232,35.875497004718234,0.09320445802793408,37726,50000,"(1.5, 1.5, 0.8, 0.6)"
