Scenario,Scenario_CN,Region,ElectricityCost_CNY,CarbonEmission_tCO2,PeakNetGridImport_MW,StdNetGridImport_MW,MeanAbsRamp_MW,MaxAbsRamp_MW,RenewableUtilization_pct,StorageThroughput_MWh,EquivalentFullCycles,InitialSOC_MWh,TerminalSOC_MWh,TerminalSOCFeasible
attachment_baseline,附件参考策略,RegionA,623022579.3387457,581269.7000783207,497.0016,96.79949584066992,24.183527472984206,385.411,8.642155582159038,48850.3504,69.78621485714287,157.5,206.8041,True
attachment_baseline,附件参考策略,RegionB,572115791.7145832,519698.5515212306,467.856,88.8141416305529,22.072893599334996,349.9416,10.125782788288895,43969.1713,68.70183015625,144.0,191.9613,True
attachment_baseline,附件参考策略,RegionC,546362199.913111,483818.09682631015,455.2661,85.04352760142369,21.429360847880297,372.2964,11.942843376351808,41525.12210000001,69.20853683333334,135.0,179.0746,True
attachment_baseline,附件参考策略,RegionD,85926414.13027096,262960.65364249994,282.5815,135.11283870285965,38.16797813798836,209.8956,47.05521965193318,161309.7622,89.61653455555556,405.0,225.9765,False
attachment_baseline,附件参考策略,RegionE,-25892946.161558136,84555.5904512,166.06040000000002,116.22146799094789,31.32411712385702,257.2579,60.99949393932786,142941.29229999997,87.15932457317072,370.0,217.2489,False
attachment_baseline,附件参考策略,RegionF,126098.9567348659,113064.88276448677,152.49719999999996,109.8217861917499,31.63748952618454,240.9611,58.408016953428024,148821.75569999998,87.54220923529411,382.5,189.1754,False
no_storage,无储能反事实,RegionA,0.0,0.0,0.0,0.0,0.0,0.0,56.962106381021705,0.0,0.0,157.5,157.5,True
no_storage,无储能反事实,RegionB,0.0,0.0,0.0,0.0,0.0,0.0,56.324987851517164,0.0,0.0,144.0,144.0,True
no_storage,无储能反事实,RegionC,0.0,0.0,0.0,0.0,0.0,0.0,57.31458131690312,0.0,0.0,135.0,135.0,True
no_storage,无储能反事实,RegionD,-133039578.0708113,0.0,0.0,30.319623975084088,8.748353672885411,103.00039957337606,77.0316915233494,0.0,0.0,405.0,405.0,True
no_storage,无储能反事实,RegionE,-140473204.72832283,0.0,0.0,42.14267690875589,11.41245012330299,128.49500041662503,79.63118779972221,0.0,0.0,370.0,370.0,True
no_storage,无储能反事实,RegionF,-146307544.94017568,8.850562571909007,31.597867090000022,45.748863675104,12.214378062031736,144.41928709000007,80.22537982707185,0.0,0.0,382.5,382.5,True
cost_min,成本最优,RegionA,0.0,0.0,0.0,0.0,0.0,0.0,56.962106381021705,0.0,0.0,157.5,157.5,True
cost_min,成本最优,RegionB,0.0,0.0,0.0,0.0,0.0,0.0,56.324987851517164,0.0,0.0,144.0,144.0,True
cost_min,成本最优,RegionC,0.0,0.0,0.0,0.0,0.0,0.0,57.31458131690312,0.0,0.0,135.0,135.0,True
cost_min,成本最优,RegionD,-142783279.05721724,0.0,0.0,1.4047680660386008e-05,5.730166976975513e-07,0.0006893390873301541,79.29191124716299,81550.42302718473,45.30579057065818,405.0,405.0,True
cost_min,成本最优,RegionE,-154169381.04785803,0.0,0.0,2.9168504645972453,0.17766511520179026,105.79999958337488,83.11207372018922,125592.97502478822,76.58108233218793,370.0,370.0,True
cost_min,成本最优,RegionF,-162265113.58395943,0.0,0.0,2.7197842732608697,0.22683403888896175,100.67579999999987,84.07946637204272,139058.33349487022,81.79901970286484,382.5,382.5,True
carbon_min,碳排最优,RegionA,0.0,0.0,0.0,0.0,0.0,0.0,56.962106381021705,0.0,0.0,157.5,157.5,True
carbon_min,碳排最优,RegionB,0.0,0.0,0.0,0.0,0.0,0.0,56.324987851517164,0.0,0.0,144.0,144.0,True
carbon_min,碳排最优,RegionC,0.0,0.0,0.0,0.0,0.0,0.0,57.31458131690312,0.0,0.0,135.0,135.0,True
carbon_min,碳排最优,RegionD,-142783279.05721724,0.0,0.0,1.4047680660386008e-05,5.730166976975513e-07,0.0006893390873301541,79.29191124716299,81550.42302718473,45.30579057065818,405.0,405.0,True
carbon_min,碳排最优,RegionE,-154169345.94681218,0.0,0.0,2.9168524209354274,0.17782452258119033,105.79999958337488,83.11206232547012,125592.5638947762,76.58083164315622,370.0,370.0,True
carbon_min,碳排最优,RegionF,-162265063.64273444,0.0,0.0,2.7197838399024956,0.22704949406194577,100.67579999999987,84.07945097092903,139057.77781113598,81.79869283007999,382.5,382.5,True
peak_min,削峰最优,RegionA,0.0,0.0,0.0,0.0,0.0,0.0,56.962106381021705,0.0,0.0,157.5,157.5,True
peak_min,削峰最优,RegionB,0.0,0.0,0.0,0.0,0.0,0.0,56.324987851517164,0.0,0.0,144.0,144.0,True
peak_min,削峰最优,RegionC,0.0,0.0,0.0,0.0,0.0,0.0,57.31458131690312,0.0,0.0,135.0,135.0,True
peak_min,削峰最优,RegionD,-142783279.05721724,0.0,0.0,1.4047680660386008e-05,5.730166976975513e-07,0.0006893390873301541,79.29191124716299,81550.42302718473,45.30579057065818,405.0,405.0,True
peak_min,削峰最优,RegionE,-154169350.39839622,0.0,0.0,2.916851882931328,0.17780430622216994,105.79999958337488,83.11206377057093,125592.61603509718,76.58086343603486,370.0,370.0,True
peak_min,削峰最优,RegionF,-162265055.28682175,0.0,0.0,2.7197847691163046,0.2270855429297463,100.67579999999987,84.07944839409272,139057.68483694928,81.79863813938194,382.5,382.5,True
smooth_min,平滑最优,RegionA,0.0,0.0,0.0,0.0,0.0,0.0,56.962106381021705,0.0,0.0,157.5,157.5,True
smooth_min,平滑最优,RegionB,0.0,0.0,0.0,0.0,0.0,0.0,56.324987851517164,0.0,0.0,144.0,144.0,True
smooth_min,平滑最优,RegionC,0.0,0.0,0.0,0.0,0.0,0.0,57.31458131690312,0.0,0.0,135.0,135.0,True
smooth_min,平滑最优,RegionD,-142783279.05721724,0.0,0.0,7.018528119607125e-06,1.4323515623715957e-07,0.00017231189295330296,79.29191124716843,81550.42302738092,45.30579057076718,405.0,405.0,True
smooth_min,平滑最优,RegionE,-135679560.72837564,0.0,0.0,2.761831744599715e-05,2.8173654686280893e-07,0.0006730682813724798,79.68094082035276,86011.12176290955,52.445805952993624,370.0,370.0,True
smooth_min,平滑最优,RegionF,-143765977.28939885,0.0,0.0,3.248889973613259e-05,3.315074308245152e-07,0.0007943772399983118,80.81619314527015,100357.96210333737,59.03409535490434,382.5,382.5,True
balanced,多目标折中,RegionA,0.0,0.0,0.0,0.0,0.0,0.0,56.962106381021705,0.0,0.0,157.5,157.5,True
balanced,多目标折中,RegionB,0.0,0.0,0.0,0.0,0.0,0.0,56.324987851517164,0.0,0.0,144.0,144.0,True
balanced,多目标折中,RegionC,0.0,0.0,0.0,0.0,0.0,0.0,57.31458131690312,0.0,0.0,135.0,135.0,True
balanced,多目标折中,RegionD,-142783279.05721855,0.0,0.0,2.5398873359993317e-12,2.3625693624608486e-15,5.314859663485549e-12,79.29191126475149,81550.42425654246,45.3057912536347,405.0,405.0,True
balanced,多目标折中,RegionE,-154144234.12060782,0.0,0.0,1.3464503074350793,0.02399558976357248,26.449999895843717,83.1087416764437,125573.80932861607,76.56939593208297,370.0,370.0,True
balanced,多目标折中,RegionF,-161790812.23067495,0.0,0.0,1.9485896929659303,0.02392217882717922,24.792840395886913,84.00161346069373,138288.62996225242,81.34625291897201,382.5,382.5,True
