Scenario,Scenario_CN,ElectricityCost_CNY,CarbonEmission_tCO2,SumRegionalPeak_MW,SystemCoincidentPeak_MW,SystemNetImportStd_MW,SystemMeanAbsRamp_MW,MeanRegionalStd_MW,MeanRegionalAbsRamp_MW,RenewableUtilization_pct,StorageThroughput_MWh,AllTerminalSOCFeasible,CostReduction_pct,CarbonReduction_pct,RegionalPeakReduction_pct,RegionalFluctuationReduction_pct,RegionalRampReduction_pct
attachment_baseline,附件参考策略,1801660137.8918877,2045367.4752840481,2021.2628000000002,1907.6382999999998,607.2039689277583,153.78127460515378,105.30220965970067,28.13589445137157,32.86225204858147,587417.4539999999,False,-529.1502861697161,-23109927.85038642,-6296.833033833736,-434.4784989772781,-421.4344971018804
no_storage,无储能反事实,-419820327.7393098,8.850562571909007,31.597867090000022,0.0,115.39141262060069,29.29024803958205,19.701860759823997,5.39586364303669,67.91498911659757,0.0,True,0.0,0.0,0.0,0.0,0.0
cost_min,成本最优,-459217773.6890347,0.0,0.0,0.0,4.982500673339041,0.4044997271074497,0.9394414642564626,0.06741662118457496,69.51418781480615,346201.7315468432,True,9.384358818896692,100.0,100.0,95.23171199051326,98.75058701174602
carbon_min,碳排最优,-459217688.6467638,0.0,0.0,0.0,4.982502980909713,0.4048745896598338,0.9394417180864306,0.06747909827663896,69.51418334883401,346200.76473309693,True,9.384338562071264,100.0,100.0,95.23171070215794,98.74942914164038
peak_min,削峰最优,-459217684.7424352,0.0,0.0,0.0,4.9825034514363225,0.40489042216861393,0.9394417832880487,0.06748173702810233,69.51418316021143,346200.7238992312,True,9.384337632071375,100.0,100.0,95.23171037121652,98.74938023841305
smooth_min,平滑最优,-422228817.07499176,0.0,0.0,0.0,6.0499097873572593e-05,7.564791338654195e-07,1.1187624216956144e-05,1.2607985565408062e-07,68.39845346037221,267919.5068936278,True,0.5736952635551136,100.0,100.0,99.99994321539293,99.99999766339805
balanced,多目标折中,-458718325.4085014,0.0,0.0,0.0,2.7984430225436565,0.04791776859075429,0.5491733334005916,0.007986294765125678,69.50065699188848,345412.86354741093,True,9.265391668539111,100.0,100.0,97.21258138967023,99.85199227976356
